lat,long,elev,timediff
408635237,-778325722,3330,0:40:41.390000,2a3c600a
408635237,-778325722,3330,0:40:41.490000,2a3c600a
408635237,-778325722,3330,0:40:41.590000,2a3c600a
408635237,-778325722,3330,0:40:41.690000,2a3c600a
408635237,-778325722,3330,0:40:41.790000,2a3c600a
408635237,-778325722,3330,0:40:41.900000,2a3c600a
408635237,-778325722,3330,0:40:41.990000,2a3c600a
408635237,-778325722,3330,0:40:42.090000,2a3c600a
408635237,-778325722,3330,0:40:42.190000,2a3c600a
408635237,-778325722,3330,0:40:42.310000,2a3c600a
408635237,-778325722,3330,0:40:42.390000,2a3c600a
408635237,-778325722,3330,0:40:42.490000,2a3c600a
408635237,-778325722,3330,0:40:42.590000,2a3c600a
408635237,-778325722,3330,0:40:42.690000,2a3c600a
408635237,-778325722,3330,0:40:42.800000,2a3c600a
408635237,-778325722,3330,0:40:42.890000,2a3c600a
408635237,-778325722,3330,0:40:42.980000,2a3c600a
408635237,-778325722,3330,0:40:43.080000,2a3c600a
408635237,-778325722,3330,0:40:43.180000,2a3c600a
408635237,-778325722,3330,0:40:43.280000,2a3c600a
408635237,-778325722,3330,0:40:43.380000,2a3c600a
408635237,-778325722,3330,0:40:43.480000,2a3c600a
408635237,-778325722,3330,0:40:43.580000,2a3c600a
408635237,-778325722,3330,0:40:43.680000,2a3c600a
408635237,-778325722,3330,0:40:43.780000,2a3c600a
408635237,-778325722,3330,0:40:43.880000,2a3c600a
408635237,-778325722,3330,0:40:43.980000,2a3c600a
408635237,-778325722,3330,0:40:44.080000,2a3c600a
408635237,-778325722,3330,0:40:44.190000,2a3c600a
408635237,-778325722,3330,0:40:44.280000,2a3c600a
408635237,-778325722,3330,0:40:44.380000,2a3c600a
408635237,-778325722,3330,0:40:44.480000,2a3c600a
408635237,-778325722,3330,0:40:44.580000,2a3c600a
408635237,-778325722,3330,0:40:44.680000,2a3c600a
408635237,-778325722,3330,0:40:44.780000,2a3c600a
408635237,-778325722,3330,0:40:44.890000,2a3c600a
408635237,-778325722,3330,0:40:44.990000,2a3c600a
408635237,-778325722,3330,0:40:45.080000,2a3c600a
408635237,-778325722,3330,0:40:45.180000,2a3c600a
408635237,-778325722,3330,0:40:45.280000,2a3c600a
408635237,-778325722,3330,0:40:45.380000,2a3c600a
408635237,-778325722,3330,0:40:45.480000,2a3c600a
408635237,-778325722,3330,0:40:45.580000,2a3c600a
408635237,-778325722,3330,0:40:45.690000,2a3c600a
408635237,-778325722,3330,0:40:45.780000,2a3c600a
408635237,-778325722,3330,0:40:45.880000,2a3c600a
408635237,-778325722,3330,0:40:45.980000,2a3c600a
408635237,-778325722,3330,0:40:46.080000,2a3c600a
408635237,-778325722,3330,0:40:46.180000,2a3c600a
408635237,-778325722,3330,0:40:46.280000,2a3c600a
408635237,-778325722,3330,0:40:46.390000,2a3c600a
408635237,-778325722,3330,0:40:46.480000,2a3c600a
408635237,-778325722,3330,0:40:46.580000,2a3c600a
408635237,-778325722,3330,0:40:46.680000,2a3c600a
408635237,-778325722,3330,0:40:46.790000,2a3c600a
408635237,-778325722,3330,0:40:46.880000,2a3c600a
408635237,-778325722,3330,0:40:46.980000,2a3c600a
408635237,-778325722,3330,0:40:47.080000,2a3c600a
408635237,-778325722,3330,0:40:47.180000,2a3c600a
408635237,-778325722,3330,0:40:47.280000,2a3c600a
408635237,-778325722,3330,0:40:47.380000,2a3c600a
408635237,-778325722,3330,0:40:47.480000,2a3c600a
408635237,-778325722,3330,0:40:47.580000,2a3c600a
408635237,-778325722,3330,0:40:47.690000,2a3c600a
408635237,-778325722,3330,0:40:47.790000,2a3c600a
408635237,-778325722,3330,0:40:47.880000,2a3c600a
408635237,-778325722,3330,0:40:47.900000,2a3c600a
408635237,-778325722,3330,0:40:48,2a3c600a
408635237,-778325722,3330,0:40:48.100000,2a3c600a
408635237,-778325722,3330,0:40:48.200000,2a3c600a
408635237,-778325722,3330,0:40:48.300000,2a3c600a
408635237,-778325722,3330,0:40:48.410000,2a3c600a
408635237,-778325722,3330,0:40:48.500000,2a3c600a
408635237,-778325722,3330,0:40:48.610000,2a3c600a
408635237,-778325722,3330,0:40:48.700000,2a3c600a
408635237,-778325722,3330,0:40:48.800000,2a3c600a
408635237,-778325722,3330,0:40:48.900000,2a3c600a
408635237,-778325723,3330,0:40:49.010000,2a3c600a
408635237,-778325723,3330,0:40:49.110000,2a3c600a
408635237,-778325723,3330,0:40:49.200000,2a3c600a
408635237,-778325723,3330,0:40:49.310000,2a3c600a
408635237,-778325723,3330,0:40:49.410000,2a3c600a
408635237,-778325723,3330,0:40:49.790000,2a3c600a
408635237,-778325723,3330,0:40:49.870000,2a3c600a
408635237,-778325723,3330,0:40:49.950000,2a3c600a
408635237,-778325723,3330,0:40:50.040000,2a3c600a
408635237,-778325723,3330,0:40:50.140000,2a3c600a
408635237,-778325723,3330,0:40:50.240000,2a3c600a
408635237,-778325723,3330,0:40:50.370000,2a3c600a
408635237,-778325723,3330,0:40:50.530000,2a3c600a
408635237,-778325723,3330,0:40:50.760000,2a3c600a
408635237,-778325723,3330,0:40:50.820000,2a3c600a
408635237,-778325723,3330,0:40:50.950000,2a3c600a
408635237,-778325723,3330,0:40:51.150000,2a3c600a
408635237,-778325723,3330,0:40:51.210000,2a3c600a
408635237,-778325723,3330,0:40:51.360000,2a3c600a
408635237,-778325723,3330,0:40:51.410000,2a3c600a
408635237,-778325723,3330,0:40:51.450000,2a3c600a
408635237,-778325723,3330,0:40:51.500000,2a3c600a
408635237,-778325723,3330,0:40:51.600000,2a3c600a
408635237,-778325723,3330,0:40:51.690000,2a3c600a
408635237,-778325723,3330,0:40:51.780000,2a3c600a
408635237,-778325723,3330,0:40:51.880000,2a3c600a
408635237,-778325723,3330,0:40:51.980000,2a3c600a
408635237,-778325723,3330,0:40:52.090000,2a3c600a
408635237,-778325723,3330,0:40:52.190000,2a3c600a
408635237,-778325723,3330,0:40:52.290000,2a3c600a
408635237,-778325723,3330,0:40:52.390000,2a3c600a
408635237,-778325723,3330,0:40:52.500000,2a3c600a
408635237,-778325723,3330,0:40:52.620000,2a3c600a
408635237,-778325723,3330,0:40:52.710000,2a3c600a
408635237,-778325723,3330,0:40:52.780000,2a3c600a
408635237,-778325723,3330,0:40:52.800000,2a3c600a
408635237,-778325723,3330,0:40:52.910000,2a3c600a
408635237,-778325723,3330,0:40:53,2a3c600a
408635237,-778325723,3330,0:40:53.020000,2a3c600a
408635237,-778325723,3330,0:40:53.060000,2a3c600a
408635237,-778325723,3330,0:40:53.080000,2a3c600a
408635237,-778325723,3330,0:40:53.100000,2a3c600a
408635237,-778325723,3330,0:40:53.200000,2a3c600a
408635237,-778325723,3330,0:40:53.300000,2a3c600a
408635237,-778325723,3330,0:40:53.410000,2a3c600a
408635237,-778325723,3330,0:40:53.510000,2a3c600a
408635237,-778325723,3330,0:40:53.610000,2a3c600a
408635237,-778325723,3330,0:40:53.710000,2a3c600a
408635237,-778325723,3330,0:40:53.810000,2a3c600a
408635237,-778325723,3330,0:40:53.900000,2a3c600a
408635237,-778325723,3330,0:40:54,2a3c600a
408635237,-778325723,3330,0:40:54.130000,2a3c600a
408635237,-778325723,3330,0:40:54.220000,2a3c600a
408635237,-778325723,3330,0:40:54.310000,2a3c600a
408635237,-778325723,3330,0:40:54.410000,2a3c600a
408635237,-778325723,3330,0:40:54.500000,2a3c600a
408635237,-778325723,3330,0:40:54.600000,2a3c600a
408635237,-778325723,3330,0:40:54.700000,2a3c600a
408635237,-778325723,3330,0:40:54.800000,2a3c600a
408635237,-778325723,3330,0:40:54.900000,2a3c600a
408635237,-778325723,3330,0:40:55.010000,2a3c600a
408635237,-778325723,3330,0:40:55.120000,2a3c600a
408635237,-778325723,3330,0:40:55.200000,2a3c600a
408635237,-778325723,3330,0:40:55.310000,2a3c600a
408635237,-778325723,3330,0:40:55.400000,2a3c600a
408635237,-778325723,3330,0:40:55.500000,2a3c600a
408635237,-778325723,3330,0:40:55.600000,2a3c600a
408635237,-778325723,3330,0:40:55.700000,2a3c600a
408635237,-778325723,3330,0:40:55.800000,2a3c600a
408635237,-778325723,3330,0:40:55.910000,2a3c600a
408635237,-778325723,3330,0:40:56,2a3c600a
408635237,-778325723,3330,0:40:56.100000,2a3c600a
408635237,-778325723,3330,0:40:56.200000,2a3c600a
408635237,-778325723,3330,0:40:56.300000,2a3c600a
408635237,-778325723,3330,0:40:56.400000,2a3c600a
408635237,-778325723,3330,0:40:56.500000,2a3c600a
408635237,-778325723,3330,0:40:56.600000,2a3c600a
408635237,-778325723,3330,0:40:56.700000,2a3c600a
408635237,-778325723,3330,0:40:56.810000,2a3c600a
408635237,-778325723,3330,0:40:56.900000,2a3c600a
408635237,-778325723,3330,0:40:57,2a3c600a
408635237,-778325723,3330,0:40:57.110000,2a3c600a
408635237,-778325723,3330,0:40:57.200000,2a3c600a
408635237,-778325723,3330,0:40:57.300000,2a3c600a
408635237,-778325723,3330,0:40:57.400000,2a3c600a
408635237,-778325723,3330,0:40:57.500000,2a3c600a
408635237,-778325723,3330,0:40:57.600000,2a3c600a
408635237,-778325723,3330,0:40:57.710000,2a3c600a
408635237,-778325723,3330,0:40:57.800000,2a3c600a
408635237,-778325723,3330,0:40:57.920000,2a3c600a
408635237,-778325723,3330,0:40:58.030000,2a3c600a
408635236,-778325723,3330,0:40:58.100000,2a3c600a
408635236,-778325723,3330,0:40:58.220000,2a3c600a
408635236,-778325723,3330,0:40:58.320000,2a3c600a
408635236,-778325723,3330,0:40:58.400000,2a3c600a
408635236,-778325723,3330,0:40:58.500000,2a3c600a
408635236,-778325723,3330,0:40:58.600000,2a3c600a
408635236,-778325723,3330,0:40:58.700000,2a3c600a
